time,asset1_antenna_incidence
0,0
12.5,30.5901954115584
132.5,37.4683505286072
252.5,46.6419320160691
372.5,30.2363322075404
492.5,30.4707502927167
612.5,30.022489946862
732.5,42.2654806408158
852.5,62.5111522103682
972.5,37.1119868601473
1092.5,38.8685862374632
1212.5,41.9021072850926
1332.5,33.3854730378588
1452.5,30.3416600842993
1572.5,32.8283800213944
1692.5,31.7127049939935
1812.5,35.6997883547238
1932.5,42.3980814371741
2052.5,43.9324230545667
2172.5,30.4103514114596
2292.5,30.125808726476
2412.5,31.4561379222031
2532.5,34.4796389289723
2652.5,36.8444506598575
2772.5,35.0645601029937
2892.5,32.6436684758846
3012.5,30.183678122745
3132.5,29.4038496141813
3252.5,54.0524530657292
3372.5,87.5416913537674
3492.5,51.2454851741638
3612.5,53.3142856392939
3732.5,40.28314213159
3852.5,32.7745624112713
3972.5,29.6018532360325
4092.5,28.6536711653356
4212.5,30.8592061466602
4332.5,35.9602836792584
4452.5,51.1878347443888
4572.5,63.4668857502899
4692.5,44.2472420914572
4812.5,28.4142600165136
4932.5,28.1886195643832
5052.5,28.853461687993
5172.5,31.4281840897025
5292.5,39.5362979174345
5412.5,61.2471080705033
5532.5,62.3871638233567
5652.5,40.1817574326563
5772.5,31.7786188111622
5892.5,51.9176106001962
6012.5,36.7223878991248
6132.5,28.5351321947493
6252.5,28.6905607607123
6372.5,30.9655342058359
6492.5,28.7184777602203
6612.5,31.0490441335671
6732.5,29.8475506915202
6852.5,29.0702418644127
6972.5,28.2250485870469
7092.5,28.6092179465712
7212.5,29.6107953350243
7332.5,33.6311421689175
7452.5,36.6665609385365
7572.5,30.1500124632356
7692.5,37.9083470328642
7812.5,34.4462302372209
7932.5,32.5688595003759
8052.5,29.9553960113236
8172.5,29.1729504323809
8292.5,29.1747436919934
8412.5,39.7987432633827
8532.5,27.7098519229078
8652.5,29.010568990165
8772.5,27.9591459070351
8892.5,31.4668955476507
