time,asset1_antenna_stress
0,0
12.5,NaN
132.5,NaN
252.5,NaN
372.5,NaN
492.5,NaN
612.5,NaN
732.5,NaN
852.5,NaN
972.5,NaN
1092.5,NaN
1212.5,NaN
1332.5,NaN
1452.5,NaN
1572.5,NaN
1692.5,NaN
1812.5,NaN
1932.5,NaN
2052.5,NaN
2172.5,NaN
2292.5,NaN
2412.5,NaN
2532.5,NaN
2652.5,NaN
2772.5,NaN
2892.5,NaN
3012.5,NaN
3132.5,NaN
3252.5,NaN
3372.5,NaN
3492.5,NaN
3612.5,NaN
3732.5,NaN
3852.5,NaN
3972.5,NaN
4092.5,NaN
4212.5,NaN
4332.5,NaN
4452.5,NaN
4572.5,NaN
4692.5,NaN
4812.5,NaN
4932.5,NaN
5052.5,NaN
5172.5,NaN
5292.5,NaN
5412.5,NaN
5532.5,NaN
5652.5,NaN
5772.5,NaN
5892.5,NaN
6012.5,NaN
6132.5,NaN
6252.5,NaN
6372.5,NaN
6492.5,NaN
6612.5,NaN
6732.5,NaN
6852.5,NaN
6972.5,NaN
7092.5,NaN
7212.5,NaN
7332.5,NaN
7452.5,NaN
7572.5,NaN
7692.5,NaN
7812.5,NaN
7932.5,NaN
8052.5,NaN
8172.5,NaN
8292.5,NaN
8412.5,NaN
8532.5,NaN
8652.5,NaN
8772.5,NaN
8892.5,NaN
