time,asset1_antstress
25,32.5354682918859
85,32.5265408053545
145,32.5346706437681
205,32.5510902650317
265,32.5373672359721
325,32.516785149444
385,32.5398410426447
445,32.5561233312723
505,32.5048028281349
565,32.5587138349227
625,32.5253022647479
685,32.5347178550899
745,32.5546502713957
805,32.5043109292623
865,32.5596730830116
925,32.5270170346902
985,32.5365437798284
1045,32.5549092058421
1105,32.5040352528974
1165,32.5585608133565
1225,32.5282849280627
1285,32.5378876454715
1345,32.5570195281196
1405,32.5055482761674
1465,32.559176862116
1525,32.5275207347722
1585,32.5370855493376
1645,32.5586209624061
1705,32.5074852510551
1765,32.5615995874079
1825,32.5283647490441
1885,32.5379614553266
1945,32.5580707588883
2005,32.5078804360719
2065,32.5634143999519
2125,32.5308941698777
2185,32.5405610157301
2245,32.5590594335907
2305,32.5082846741857
2365,32.562935117057
2425,32.5327430017349
2485,32.542432425319
2545,32.5616423761464
2605,32.510210956218
2665,32.5639067501791
2725,32.532273189761
2785,32.5418636074419
2845,32.5634167753593
2905,32.5122578057501
2965,32.5663768125108
3025,32.5331003823898
3085,32.5426595415024
3145,32.5627231756947
3205,32.5124485008547
3265,32.567925455716
3325,32.5353039556378
3385,32.5448735566757
3445,32.5632665613235
3505,32.5123526566399
3565,32.5668888985798
3625,32.5374049731663
3685,32.5433430331984
3745,32.5661094020966
3805,32.514588441948
3865,32.5631598221271
3925,32.5465320363413
