time,asset1_finaldeflection
25,6.87559822060883E-07
85,6.87371160843655E-07
145,6.87542965663026E-07
205,6.87889955347424E-07
265,6.87599951732486E-07
325,6.87164998234232E-07
385,6.87652229759049E-07
445,6.87996317244471E-07
505,6.86911780341891E-07
565,6.88051061384401E-07
625,6.87344987230557E-07
685,6.87543963362145E-07
745,6.87965187623787E-07
805,6.8690138522791E-07
865,6.88071332813705E-07
925,6.87381224819204E-07
985,6.87582549943319E-07
1045,6.87970659588116E-07
1105,6.86895559462912E-07
1165,6.8804782763716E-07
1225,6.87408018733272E-07
1285,6.87610949350825E-07
1345,6.88015256235583E-07
1405,6.86927533614965E-07
1465,6.88060846364036E-07
1525,6.87391869323706E-07
1585,6.87593998954718E-07
1645,6.88049098744416E-07
1705,6.86968466977202E-07
1765,6.88112044906982E-07
1825,6.87409705560069E-07
1885,6.87612509146751E-07
1945,6.88037471500285E-07
2005,6.86976818273621E-07
2065,6.88150396658328E-07
2125,6.87463158859793E-07
2185,6.8766744467964E-07
2245,6.88058364791149E-07
2305,6.86985360885735E-07
2365,6.88140268153061E-07
2425,6.87502229528496E-07
2485,6.87706992475062E-07
2545,6.88112949145309E-07
2605,6.87026068279878E-07
2665,6.88160801310616E-07
2725,6.87492301168645E-07
2785,6.87694971860672E-07
2845,6.88150446856918E-07
2905,6.87069323581674E-07
2965,6.8821300020943E-07
3025,6.87509781919544E-07
3085,6.87711792036E-07
3145,6.88135789275916E-07
3205,6.87073353469642E-07
3265,6.88245727104186E-07
3325,6.87556349204722E-07
3385,6.87758579986457E-07
3445,6.88147272440163E-07
3505,6.87071328029877E-07
3565,6.88223821931845E-07
3625,6.87600749218426E-07
3685,6.877262360091E-07
3745,6.88207349125661E-07
3805,6.8711857604041E-07
3865,6.88145016760846E-07
3925,6.87793628013845E-07
